state,pollster,sponsor,start.date,end.date,entry.date.time..et.,number.of.observations,population,mode,biden,trump,biden_margin,other,undecided,url,include,notes
PA,Hodas & Associates,,7/17/2020,7/22/2020,8/5/2020 11:05:00,600,lv,Live Phone,51,45,6,,,https://d3n8a8pro7vhmx.cloudfront.net/restoration/pages/448/attachments/original/1596556896/Banners_July2020_PA_07-22-2020.pdf,TRUE,
MI,Hodas & Associates,,7/13/2020,7/16/2020,8/5/2020 11:05:00,600,lv,Live Phone,53,41,12,,,https://d3n8a8pro7vhmx.cloudfront.net/restoration/pages/448/attachments/original/1596556627/Banners_MI_July2020_07-17-2020.pdf,TRUE,
IA,Monmouth University,,7/30/2020,8/3/2020,8/5/2020 11:05:00,401,lv,Live Phone,47,48,-1,,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_ia_080520.pdf/,TRUE,
TX,Morning Consult,,7/24/2020,8/2/2020,8/4/2020 18:52:00,2576,lv,Online,47,46,1,,,https://morningconsult.com/2020/08/04/senate-presidential-polling-alabama-kentucky-sc-texas/,TRUE,
KY,Morning Consult,,7/24/2020,8/2/2020,8/4/2020 18:52:00,793,lv,Online,35,58,-23,,,https://morningconsult.com/2020/08/04/senate-presidential-polling-alabama-kentucky-sc-texas/,TRUE,
SC,Morning Consult,,7/24/2020,8/2/2020,8/4/2020 18:52:00,741,lv,Online,44,49,-5,,,https://morningconsult.com/2020/08/04/senate-presidential-polling-alabama-kentucky-sc-texas/,TRUE,
AL,Morning Consult,,7/24/2020,8/2/2020,8/4/2020 18:52:00,609,lv,Online,36,58,-22,,,https://morningconsult.com/2020/08/04/senate-presidential-polling-alabama-kentucky-sc-texas/,TRUE,
CA,"University of California, Berkeley",,7/21/2020,7/27/2020,8/4/2020 18:50:00,6756,lv,Online,67,28,39,,,https://escholarship.org/uc/item/0dn374cv,TRUE,
MI,Public Policy Polling,,7/28/2020,7/29/2020,8/3/2020 20:46:00,876,rv,IVR,49,43,6,,,https://progressmichigan.org/wp-content/uploads/2020/08/Michigan-Results-August.pdf,TRUE,
--,Fox News/Beacon Research/Shaw & Co. Research,,7/23/2020,7/27/2020,8/3/2020 20:45:00,1504,lv,Live Phone,48,41,7,,,https://www.thedreamcorps.org/wp-content/uploads/2020/08/cut50-JAN-July-2020-Survey-Topline-080320.pdf,TRUE,
WI,Global Strategy Group,,7/11/2020,7/17/2020,8/3/2020 20:44:00,600,lv,Online,51,42,9,,,https://globalstrategygroup.app.box.com/s/4xeph58faba0fel8ejpqya6nieemx8sh,TRUE,
OH,University of Akron,,6/25/2020,7/15/2020,8/3/2020 20:43:00,1037,rv,Online,46,42,4,,,https://www.wksu.org/post/new-poll-puts-biden-over-trump-ohio-coronavirus-and-economy-are-top-issues,TRUE,
--,Morning Consult,,7/31/2020,8/2/2020,8/3/2020 15:23:00,12000,lv,Online,51,42,9,,,https://morningconsult.com/2020-presidential-election-tracker/,TRUE,monday release
NC,YouGov,CBS News,7/28/2020,7/31/2020,8/2/2020 11:02:00,1129,lv,Online,48,44,4,,,https://drive.google.com/file/d/1oa8SqHJAq6hBII_8LjgY0PjPwAgBWzpO/view,TRUE,
GA,YouGov,CBS News,7/28/2020,7/31/2020,8/2/2020 11:02:00,1109,lv,Online,46,45,1,,,https://drive.google.com/file/d/1oa8SqHJAq6hBII_8LjgY0PjPwAgBWzpO/view,TRUE,
--,YouGov,Yahoo,7/28/2020,7/30/2020,7/31/2020 10:54:00,1088,rv,Online,49,40,9,,,https://docs.cdn.yougov.com/l9txxcxdi3/20200730_yahoo_coronavirus_crosstabs.pdf,TRUE,
--,Data for Progress,,7/28/2020,7/28/2020,7/31/2020 10:54:00,794,rv,Online,52,42,10,,,https://docs.google.com/spreadsheets/d/1dGGzVgmSaesL4N8JeM07YIfMsT_BJ1yflf-29y_ejcQ/edit,TRUE,
MN,Public Policy Polling,,7/22/2020,7/23/2020,7/31/2020 10:53:00,1218,rv,IVR,52,42,10,,,https://giffords.org/wp-content/uploads/2020/07/MinnesotaResults2.pdf,TRUE,
NH,University of New Hampshire,,7/16/2020,7/28/2020,7/30/2020 16:04:00,1893,lv,Live Phone,53,40,13,,,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1599&context=survey_center_polls,TRUE,
--,IBD/TIPP,,7/25/2020,7/28/2020,7/30/2020 16:04:00,1160,rv,Online,48,41,7,,,https://www.investors.com/news/president-trump-trails-joe-biden-2020-election-law-order/,TRUE,
NH,University of New Hampshire,,6/18/2020,6/22/2020,7/30/2020 16:04:00,936,lv,Live Phone,52,39,13,,,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1599&context=survey_center_polls,TRUE,
NH,University of New Hampshire,,5/14/2020,5/18/2020,7/30/2020 16:04:00,790,lv,Live Phone,44,46,-2,,,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1599&context=survey_center_polls,TRUE,
VA,Virginia Commonwealth University,,7/11/2020,7/18/2020,7/30/2020 16:04:00,725,lv,Live Phone,50,39,11,,,https://drive.google.com/file/d/13wln9QQfSmCV989SKli8CctsbVgx7Ien/view,TRUE,
FL,Redfield & Wilton Strategies,,7/19/2020,7/24/2020,7/30/2020 9:06:00,1121,lv,Online,48,41,7,2,,https://redfieldandwiltonstrategies.com/latest-usa-swing-state-voting-intention-19-to-24-july/,TRUE,
PA,Redfield & Wilton Strategies,,7/19/2020,7/24/2020,7/30/2020 9:06:00,1016,lv,Online,48,41,7,2,,https://redfieldandwiltonstrategies.com/latest-usa-swing-state-voting-intention-19-to-24-july/,TRUE,
NC,Redfield & Wilton Strategies,,7/19/2020,7/24/2020,7/30/2020 9:06:00,919,lv,Online,43,42,1,3,,https://redfieldandwiltonstrategies.com/latest-usa-swing-state-voting-intention-19-to-24-july/,TRUE,
AZ,Redfield & Wilton Strategies,,7/19/2020,7/24/2020,7/30/2020 9:06:00,858,lv,Online,46,38,8,4,,https://redfieldandwiltonstrategies.com/latest-usa-swing-state-voting-intention-19-to-24-july/,TRUE,
MI,Redfield & Wilton Strategies,,7/19/2020,7/24/2020,7/30/2020 9:06:00,811,lv,Online,49,37,12,2,,https://redfieldandwiltonstrategies.com/latest-usa-swing-state-voting-intention-19-to-24-july/,TRUE,
WI,Redfield & Wilton Strategies,,7/19/2020,7/24/2020,7/30/2020 9:06:00,742,lv,Online,45,35,10,4,,https://redfieldandwiltonstrategies.com/latest-usa-swing-state-voting-intention-19-to-24-july/,TRUE,
NC,Cardinal Point Analysis,,7/22/2020,7/24/2020,7/30/2020 9:06:00,735,lv,IVR/Live Phone,47,48,-1,1,,https://cpapolling.com/wp-content/uploads/2020/07/NC_Poll_Results_2020-07-29.pdf,TRUE,
PA,Franklin & Marshall College,,7/20/2020,7/26/2020,7/30/2020 9:06:00,667,rv,Live Phone/Online,50,41,9,,,https://www.fandm.edu/uploads/files/90560429767618014-f-m-poll-release-july-2020.pdf,TRUE,
FL,Mason-Dixon Polling & Strategy,,7/20/2020,7/23/2020,7/30/2020 9:06:00,625,lv,Live Phone,50,46,4,,,https://assets.documentcloud.org/documents/7010042/FL720PollPart1.pdf,TRUE,
--,Optimus,,7/24/2020,7/28/2020,7/29/2020 17:36:00,914,lv,Online,48,40,8,,,https://github.com/optimus-forecasting-and-polling/0ptimus-Coronavirus-Tracking/tree/master/July-29-2020,TRUE,
--,Change Research,,7/24/2020,7/26/2020,7/29/2020 14:10:00,1039,lv,Online,51,42,9,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-10,TRUE,
FL,Change Research,,7/24/2020,7/26/2020,7/29/2020 14:10:00,685,lv,Online,48,45,3,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-10,TRUE,
MI,Change Research,,7/24/2020,7/26/2020,7/29/2020 14:10:00,413,lv,Online,46,42,4,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-10,TRUE,
WI,Change Research,,7/24/2020,7/26/2020,7/29/2020 14:10:00,392,lv,Online,48,43,5,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-10,TRUE,
PA,Change Research,,7/24/2020,7/26/2020,7/29/2020 14:10:00,382,lv,Online,48,46,2,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-10,TRUE,
AZ,Change Research,,7/24/2020,7/26/2020,7/29/2020 14:10:00,365,lv,Online,47,45,2,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-10,TRUE,
NC,Change Research,,7/24/2020,7/26/2020,7/29/2020 14:10:00,284,lv,Online,49,46,3,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-10,TRUE,
--,Ipsos,Reuters,7/27/2020,7/28/2020,7/29/2020 14:07:00,947,rv,Online,47,38,9,,,https://fingfx.thomsonreuters.com/gfx/mkt/bdwvkezzovm/Topline%20Reuters-Ipsos%20Core%20Political%207.28.pdf,TRUE,
--,YouGov,Economist,7/27/2020,7/28/2020,7/29/2020 11:12:00,1260,rv,Online,49,40,9,,,https://docs.cdn.yougov.com/0nx7ztz02j/econTabReport.pdf,TRUE,
GA,Monmouth University,,7/23/2020,7/27/2020,7/29/2020 11:11:00,402,lv,Live Phone,47,48,-1,,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_ga_072920.pdf/,TRUE,
WA,SurveyUSA,,7/22/2020,7/27/2020,7/28/2020 20:53:00,534,lv,Online,62,28,34,,,http://www.surveyusa.com/client/PollReport.aspx?g=e1e5b213-5bff-45d9-8c44-33b8a8a42e13,TRUE,
ME,Colby College,,7/18/2020,7/24/2020,7/28/2020 20:51:00,888,lv,Live Phone/Online,50,38,12,,,http://www.colby.edu/government/2020-polling/,TRUE,
FL,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,3760,lv,Online,49,46,3,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
TX,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,2685,lv,Online,47,45,2,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
PA,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,2092,lv,Online,50,42,8,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
OH,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,1741,lv,Online,45,48,-3,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
NC,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,1504,lv,Online,47,47,0,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
GA,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,1337,lv,Online,47,46,1,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
MI,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,1320,lv,Online,52,42,10,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
VA,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,1156,lv,Online,52,41,11,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
AZ,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,908,lv,Online,49,42,7,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
WI,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,809,lv,Online,50,43,7,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
MN,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,662,lv,Online,47,44,3,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
CO,Morning Consult,,7/17/2020,7/26/2020,7/28/2020 15:24:00,616,lv,Online,52,39,13,,,https://morningconsult.com/form/july-presidential-battleground-state-polling/,TRUE,
IA,Public Policy Polling,,7/23/2020,7/24/2020,7/28/2020 15:21:00,1118,rv,IVR,47,48,-1,,,https://www.afscme.org/press/reports/polling/IowaResults.pdf,TRUE,
ME,Public Policy Polling,,7/23/2020,7/24/2020,7/28/2020 15:21:00,962,rv,IVR,53,42,11,,,https://www.afscme.org/press/reports/polling/MaineResults.pdf,TRUE,
MT,Public Policy Polling,,7/23/2020,7/24/2020,7/28/2020 15:21:00,917,rv,IVR,45,50,-5,,,https://www.afscme.org/press/reports/polling/MontanaResults.pdf,TRUE,
CO,Public Policy Polling,,7/23/2020,7/24/2020,7/28/2020 15:21:00,891,rv,IVR,54,41,13,,,https://www.afscme.org/press/reports/polling/ColoradoResults.pdf,TRUE,
AK,Public Policy Polling,,7/23/2020,7/24/2020,7/28/2020 15:21:00,885,rv,IVR,44,50,-6,,,https://www.afscme.org/press/reports/polling/AlaskaResults.pdf,TRUE,
NC,Public Policy Polling,,7/23/2020,7/24/2020,7/28/2020 15:21:00,884,rv,IVR,49,46,3,,,https://www.afscme.org/press/reports/polling/NCResults.pdf,TRUE,
GA,Public Policy Polling,,7/23/2020,7/24/2020,7/28/2020 15:21:00,722,rv,IVR,46,45,1,,,https://www.afscme.org/press/reports/polling/GeorgiaResults.pdf,TRUE,
MA,MassInc Polling Group,,7/17/2020,7/20/2020,7/28/2020 14:53:00,797,rv,Live Phone,55,23,32,,,https://www.massincpolling.com/the-topline/edxk6ycbjxssb1vp0rkcmtnpy5leau,TRUE,
NJ,DKC Analytics,,7/7/2020,7/12/2020,7/28/2020 14:52:00,500,lv,Online,51,33,18,,,https://www.marijuanamoment.net/nearly-seven-in-ten-new-jersey-voters-support-marijuana-legalization-ballot-measure-poll-finds/,TRUE,
--,RMG Research,ScottRasmussen.com,7/23/2020,7/25/2020,7/27/2020 17:04:00,1200,rv,Online,45,37,8,,,https://scottrasmussen.com/biden-45-trump-37-jorgensen-2-hawkins-1/,TRUE,
MN,Trafalgar Group,,7/23/2020,7/25/2020,7/27/2020 17:03:00,1129,lv,IVR,49,44,5,,,https://drive.google.com/file/d/1IJuil1PHuwfLfcV9OFHM2efpxPI8fMhM/view,TRUE,
--,The Harris Poll,Harvard,7/21/2020,7/23/2020,7/27/2020 13:19:00,1932,rv,Online,55,45,10,,,https://thehill.com/homenews/coronavirus-report/509189-biden-has-10-point-lead-over-trump-its-the-virus-stupid,TRUE,
--,YouGov,CBS News,7/21/2020,7/24/2020,7/26/2020 19:31:00,1401,lv,Online,51,41,10,,,https://drive.google.com/file/d/1Vbmv7EXnwqeubTuvBYNiBvq565sOxi_9/view,TRUE,
OH,YouGov,CBS News,7/21/2020,7/24/2020,7/26/2020 19:31:00,1211,lv,Online,45,46,-1,,,https://drive.google.com/file/d/1Vbmv7EXnwqeubTuvBYNiBvq565sOxi_9/view,TRUE,
MI,YouGov,CBS News,7/21/2020,7/24/2020,7/26/2020 19:31:00,1156,lv,Online,48,42,6,,,https://drive.google.com/file/d/1Vbmv7EXnwqeubTuvBYNiBvq565sOxi_9/view,TRUE,
MI,SSRS,CNN,7/18/2020,7/24/2020,7/26/2020 19:31:00,927,rv,Live Phone,52,40,12,,,https://cdn.cnn.com/cnn/2020/images/07/26/rel1_mi.pdf,TRUE,
FL,SSRS,CNN,7/18/2020,7/24/2020,7/26/2020 19:31:00,880,rv,Live Phone,51,46,5,,,https://cdn.cnn.com/cnn/2020/images/07/26/rel1_mi.pdf,TRUE,
AZ,SSRS,CNN,7/18/2020,7/24/2020,7/26/2020 19:31:00,873,rv,Live Phone,49,45,4,,,https://cdn.cnn.com/cnn/2020/images/07/26/rel1_mi.pdf,TRUE,
AZ,Marist College,,7/14/2020,7/22/2020,7/26/2020 19:31:00,826,rv,Live Phone,50,45,5,,,http://maristpoll.marist.edu/wp-content/uploads/2020/07/NBC-News_Marist-Poll-AZ-NOS-and-Tables_202007231249.pdf,TRUE,
--,Kaiser Family Foundation,,7/14/2020,7/19/2020,7/26/2020 12:59:00,1117,rv,Live Phone,47,38,9,,,https://www.kff.org/wp-content/uploads/2020/07/Kaiser-Healthcare-Tracking-Poll_July-2020_Topline_FULL-FINAL.pdf,TRUE,
--,NORC,AP,7/16/2020,7/20/2020,7/26/2020 9:42:00,1057,a,Live Phone,46,34,12,,,https://apnorc.org/wp-content/uploads/2020/07/topline_final.pdf,TRUE,
NC,Marist College,,7/14/2020,7/22/2020,7/26/2020 9:42:00,882,rv,Live Phone,51,44,7,,,https://assets.documentcloud.org/documents/7007170/NBC-News-Marist-Poll-NC-Annotated-Questionnaire.pdf,TRUE,
PA,Gravis Marketing,,7/22/2020,7/24/2020,7/25/2020 12:48:00,1006,lv,IVR/Online,48,45,3,,,https://www.gravismarketing.com/pa-poll-results/,TRUE,
WI,Gravis Marketing,,7/22/2020,7/22/2020,7/24/2020 20:34:00,796,lv,IVR/Online,50,42,8,,,https://www.gravismarketing.com/wisconsin-poll-results/,TRUE,
MI,Gravis Marketing,,7/22/2020,7/22/2020,7/24/2020 20:34:00,754,lv,IVR/Online,51,42,9,,,https://www.gravismarketing.com/michigan-poll-results/,TRUE,
--,Data for Progress,,7/21/2020,7/21/2020,7/24/2020 20:34:00,652,rv,Online,50,44,6,,,https://docs.google.com/spreadsheets/d/1dGGzVgmSaesL4N8JeM07YIfMsT_BJ1yflf-29y_ejcQ/edit,TRUE,
--,Echelon Insights,,7/17/2020,7/22/2020,7/24/2020 20:33:00,1000,lv,Online,50,37,13,,,https://60p3co1nax34ovc830mr2sak-wpengine.netdna-ssl.com/wp-content/uploads/Omnibus_Release1_deck_July20201.pdf,TRUE,
--,Echelon Insights,,4/18/2020,4/21/2020,7/24/2020 20:33:00,1000,lv,Online,52,43,9,,,https://60p3co1nax34ovc830mr2sak-wpengine.netdna-ssl.com/wp-content/uploads/Omnibus_Release1_deck_July20201.pdf,TRUE,
--,Echelon Insights,,3/20/2020,3/24/2020,7/24/2020 20:33:00,1000,lv,Online,51,41,10,,,https://60p3co1nax34ovc830mr2sak-wpengine.netdna-ssl.com/wp-content/uploads/Omnibus_Release1_deck_July20201.pdf,TRUE,
--,Echelon Insights,,1/20/2020,1/23/2020,7/24/2020 20:33:00,1000,lv,Online,49,40,9,,,https://60p3co1nax34ovc830mr2sak-wpengine.netdna-ssl.com/wp-content/uploads/Omnibus_Release1_deck_July20201.pdf,TRUE,
PA,Fox News/Beacon Research/Shaw & Co. Research,,7/17/2020,7/20/2020,7/23/2020 17:58:00,793,rv,Live Phone,50,39,11,,,https://static.foxnews.com/foxnews.com/content/uploads/2020/07/Fox_July-18-20-2020_Complete_Pennsylvania_Topline_July-23-Release.pdf,TRUE,
MN,Fox News/Beacon Research/Shaw & Co. Research,,7/17/2020,7/20/2020,7/23/2020 17:58:00,776,rv,Live Phone,51,38,13,,,https://static.foxnews.com/foxnews.com/content/uploads/2020/07/Fox_July-18-20-2020_Complete_Minnesota_Topline_July-23-Release.pdf,TRUE,
MI,Fox News/Beacon Research/Shaw & Co. Research,,7/17/2020,7/20/2020,7/23/2020 17:58:00,756,rv,Live Phone,49,40,9,,,https://static.foxnews.com/foxnews.com/content/uploads/2020/07/Fox_July-18-20-2020_Complete_Michigan_Topline_July-23-Release.pdf,TRUE,
--,Hart Research Associates,,5/13/2020,5/15/2020,7/23/2020 17:34:00,1015,rv,Online,51,43,8,,,https://www.protectourcare.org/wp-content/uploads/2020/03/FI12859-Coronavirus-March-2020.pdf,TRUE,
--,Global Strategy Group,Data for Progress,6/23/2020,7/1/2020,7/23/2020 17:33:00,3249,rv,Online,50,39,11,4,7,https://www.climatepower2020.org/wp-content/uploads/sites/23/2020/07/GSG-Climate-Power-Deck-FINAL.pdf,TRUE,
--,GQR Research,,7/15/2020,7/19/2020,7/23/2020 16:43:00,1000,rv,Online,55,44,11,,,https://accountabletech.org/wp-content/uploads/2020/07/Accountable-Tech-071920-FQ.pdf,TRUE,
FL,Quinnipiac University,,7/16/2020,7/20/2020,7/23/2020 16:41:00,924,rv,Live Phone,51,38,13,,,https://poll.qu.edu/florida/release-detail?ReleaseID=3668,TRUE,
FL,St Pete Polls,,7/13/2020,7/14/2020,7/23/2020 9:07:00,3018,lv,IVR,50,44,6,,,https://floridapolitics.com/archives/351214-poll-joe-biden-leads-in-florida-with-more-than-50-of-the-vote,TRUE,
TX,Quinnipiac University,,7/16/2020,7/20/2020,7/22/2020 14:46:00,880,rv,Live Phone,45,44,1,,,https://poll.qu.edu/texas/release-detail?ReleaseID=3667,TRUE,
GA,Garin-Hart-Yang Research Group,,7/9/2020,7/15/2020,7/22/2020 14:45:00,800,lv,Live Phone,47,43,4,,,https://electjon.com/wp-content/uploads/2020/07/2020.07.22-Ossoff-poll-memo.pdf,TRUE,
AZ,Public Policy Polling,,7/17/2020,7/18/2020,7/22/2020 11:12:00,960,rv,IVR,49,45,4,,,https://www.afscme.org/press/press-releases/2020/20200718-PPP-Arizona-Results.pdf,TRUE,
--,Morning Consult,,7/13/2020,7/19/2020,7/22/2020 10:03:00,31310,rv,Online,47,40,7,,,https://morningconsult.com/2020/07/22/trump-biden-economy-trust-polling/,TRUE,
--,Ipsos,Reuters,7/15/2020,7/21/2020,7/22/2020 10:03:00,3744,rv,Online,46,38,8,,,https://www.reuters.com/article/usa-election-poll/poll-biden-leading-trump-by-8-points-also-has-a-big-advantage-with-undecided-voters-idUSL2N2ES29K,TRUE,
--,YouGov,Economist,7/19/2020,7/21/2020,7/22/2020 10:03:00,1222,rv,Online,48,41,7,,,https://docs.cdn.yougov.com/8uw05wqpg2/econTabReport.pdf,TRUE,
GA,Trafalgar Group,,7/15/2020,7/18/2020,7/20/2020 16:59:00,1023,lv,IVR,43,50,-7,,,https://drive.google.com/file/d/14b1jw1EuSpo90_kwZJKiSjHMQ378jFoA/view,TRUE,
NC,Cardinal Point Analytics,,7/13/2020,7/15/2020,7/20/2020 16:57:00,547,lv,IVR/Live Phone,48,49,-1,1,3,https://cpapolling.com/wp-content/uploads/2020/07/NC_Poll_Results_2020-07-20.pdf,TRUE,
--,Benenson Strategy Group/GS Strategy Group,,7/15/2020,7/18/2020,7/20/2020 11:50:00,1301,lv,Live Phone,50,39,11,,,https://ac32b1ba-8f5b-411f-91ab-b7ae9a046606.usrfiles.com/ugd/ac32b1_ea3fc74c5d06467da0fd05cdd91dcb8f.pdf,TRUE,
MI,Public Policy Polling,,7/9/2020,7/10/2020,7/19/2020 14:30:00,1041,rv,IVR,51,44,7,,,https://giffords.org/wp-content/uploads/2020/07/MichiganResults2-1.pdf,TRUE,
SC,Gravis Marketing,,7/17/2020,7/17/2020,7/19/2020 14:30:00,604,lv,IVR/Online,46,50,-4,,,https://www.gravismarketing.com/south-carolina-poll-results-gravis-marketing-2020/,TRUE,
--,Fox News/Beacon Research/Shaw & Co. Research,,7/12/2020,7/15/2020,7/19/2020 9:25:00,1104,rv,Live Phone,49,41,8,,,https://static.foxnews.com/foxnews.com/content/uploads/2020/07/Fox_July-12-15-2020_Complete_National_Topline_July-19-Release.pdf,TRUE,
--,ABC News/Washington Post,,7/12/2020,7/15/2020,7/19/2020 0:55:00,845,rv,Live Phone,55,40,15,,,https://www.langerresearch.com/wp-content/uploads/1214a22020Election.pdf,TRUE,
--,ABC News/Washington Post,,7/12/2020,7/15/2020,7/19/2020 0:55:00,700,lv,Live Phone,54,44,10,,,https://www.langerresearch.com/wp-content/uploads/1214a22020Election.pdf,TRUE,
AK,Alaska Survey Research,,6/23/2020,7/7/2020,7/17/2020 20:13:00,663,lv,Live Phone/Online,48,49,-1,,,https://www.facebook.com/alaskasurvey/posts/1681737535312206,TRUE,
--,UCLA Nationscape,Democracy Fund,7/2/2020,7/8/2020,7/17/2020 12:49:00,4983,rv,Online,49,41,8,,,https://www.usatoday.com/story/news/politics/elections/2020/07/17/trump-approval-rating-race-relations-rating-drop-amid-covid-19-survey-shows/5444310002/,TRUE,
--,UCLA Nationscape,Democracy Fund,4/9/2020,4/15/2020,7/17/2020 12:48:00,5036,rv,Online,48,43,5,,,https://www.usatoday.com/story/news/politics/elections/2020/07/17/trump-approval-rating-race-relations-rating-drop-amid-covid-19-survey-shows/5444310002/,TRUE,
KY,Garin-Hart-Yang Research Group,,7/7/2020,7/12/2020,7/16/2020 16:57:00,800,lv,Live Phone,41,53,-12,,,https://amymcgrath.com/wp-content/uploads/2020/07/Polling-Memo-07-16.pdf,TRUE,
AZ,OH Predictive Insights,MBQF,7/6/2020,7/7/2020,7/16/2020 8:56:00,600,lv,IVR/Live Phone,49,44,5,,,https://f.hubspotusercontent40.net/hubfs/7453540/200706_AZPOP/Arizona%20Public%20Opinion%20Pulse%20--%20Presidential%20Toplines.pdf,TRUE,
--,NBC News/Wall Street Journal,,7/9/2020,7/12/2020,7/15/2020 17:08:00,900,rv,Live Phone,51,40,11,,,https://assets.documentcloud.org/documents/6989473/200356-NBCWSJ-July-Poll-7-15-2020-Release.pdf,TRUE,
--,Ipsos,Reuters,7/13/2020,7/14/2020,7/15/2020 17:06:00,961,rv,Online,47,37,10,,,https://www.reuters.com/article/us-usa-election-poll-idUSKCN24G14N,TRUE,
--,Quinnipiac University,,7/9/2020,7/13/2020,7/15/2020 16:15:00,1273,rv,Live Phone,52,37,15,,,https://poll.qu.edu/national/release-detail?ReleaseID=3666,TRUE,
--,YouGov,Yahoo,7/11/2020,7/14/2020,7/15/2020 12:21:00,1081,rv,Online,47,39,8,,,https://docs.cdn.yougov.com/pf8xh3r9pm/20200714_yahoo_coronavirus_crosstabs.pdf,TRUE,
PA,Monmouth University,,7/9/2020,7/13/2020,7/15/2020 11:15:00,401,lv,Live Phone,52,43,9,3,2,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_pa_071520.pdf/,TRUE,avg of lv filters
--,YouGov,Economist,7/12/2020,7/14/2020,7/15/2020 10:02:00,1252,rv,Online,49,40,9,,,https://docs.cdn.yougov.com/hpupr0zhkl/econTabReport.pdf,TRUE,
--,Morning Consult,,7/6/2020,7/13/2020,7/15/2020 8:49:00,32514,rv,Online,47,39,8,,,https://morningconsult.com/2020/07/15/as-trump-questions-faucis-covid-19-handling-voters-give-the-doctor-good-marks/,TRUE,
--,Change Research,,7/10/2020,7/12/2020,7/15/2020 8:49:00,1258,lv,Online,51,41,10,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-9,TRUE,
FL,Change Research,,7/10/2020,7/12/2020,7/15/2020 8:49:00,1128,lv,Online,50,43,7,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-9,TRUE,
MI,Change Research,,7/10/2020,7/12/2020,7/15/2020 8:49:00,824,lv,Online,48,42,6,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-9,TRUE,
PA,Change Research,,7/10/2020,7/12/2020,7/15/2020 8:49:00,743,lv,Online,50,42,8,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-9,TRUE,
NC,Change Research,,7/10/2020,7/12/2020,7/15/2020 8:49:00,655,lv,Online,47,46,1,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-9,TRUE,
WI,Change Research,,7/10/2020,7/12/2020,7/15/2020 8:49:00,601,lv,Online,48,42,6,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-9,TRUE,
AZ,Change Research,,7/10/2020,7/12/2020,7/15/2020 8:49:00,345,lv,Online,51,45,6,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-9,TRUE,
FL,Gravis Marketing,,7/13/2020,7/13/2020,7/14/2020 10:45:00,529,lv,IVR/Online,53,43,10,,,https://www.scribd.com/document/469124461/Florida-July-13-2020,TRUE,
MT,Civiqs,,7/11/2020,7/13/2020,7/14/2020 8:53:00,873,rv,Online,45,49,-4,5,1,https://civiqs.com/documents/Civiqs_DailyKos_MT_banner_book_2020_07_ba6t8k.pdf,TRUE,
--,Redfield & Wilton Strategies,,7/9/2020,7/9/2020,7/13/2020 14:23:00,1853,lv,Online,48,40,8,3,10,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-july-9/,TRUE,
